date,dayOfWeek,weekNumber,createdAt,updatedAt
2021-07-09,5,28,9/7/20 16:41,9/7/20 16:41
2021-07-10,6,28,9/7/20 16:41,9/7/20 16:41
2021-07-11,0,29,9/7/20 16:41,9/7/20 16:41
2021-07-12,1,29,9/7/20 16:41,9/7/20 16:41
2021-07-13,2,29,9/7/20 16:41,9/7/20 16:41
2021-07-14,3,29,9/7/20 16:41,9/7/20 16:41
2021-07-15,4,29,9/7/20 16:41,9/7/20 16:41
2021-07-16,5,29,9/7/20 16:41,9/7/20 16:41
2021-07-17,6,29,9/7/20 16:41,9/7/20 16:41
2021-07-18,0,30,9/7/20 16:41,9/7/20 16:41
2021-07-19,1,30,9/7/20 16:41,9/7/20 16:41
2021-07-20,2,30,9/7/20 16:41,9/7/20 16:41
2021-07-21,3,30,9/7/20 16:41,9/7/20 16:41
2021-07-22,4,30,9/7/20 16:41,9/7/20 16:41
2021-07-23,5,30,9/7/20 16:41,9/7/20 16:41
2021-07-24,6,30,9/7/20 16:41,9/7/20 16:41
2021-07-25,0,31,9/7/20 16:41,9/7/20 16:41
2021-07-26,1,31,9/7/20 16:41,9/7/20 16:41
2021-07-27,2,31,9/7/20 16:41,9/7/20 16:41
2021-07-28,3,31,9/7/20 16:41,9/7/20 16:41
2021-07-29,4,31,9/7/20 16:41,9/7/20 16:41
2021-07-30,5,31,9/7/20 16:41,9/7/20 16:41
2021-07-31,6,31,9/7/20 16:41,9/7/20 16:41
2021-08-01,0,32,9/7/20 16:41,9/7/20 16:41
2021-08-02,1,32,9/7/20 16:41,9/7/20 16:41
2021-08-03,2,32,9/7/20 16:41,9/7/20 16:41
2021-08-04,3,32,9/7/20 16:41,9/7/20 16:41
2021-08-05,4,32,9/7/20 16:41,9/7/20 16:41
2021-08-06,5,32,9/7/20 16:41,9/7/20 16:41
2021-08-07,6,32,9/7/20 16:41,9/7/20 16:41
2021-08-08,0,33,9/7/20 16:41,9/7/20 16:41
2021-08-09,1,33,9/7/20 16:41,9/7/20 16:41
2021-08-10,2,33,9/7/20 16:41,9/7/20 16:41
2021-08-11,3,33,9/7/20 16:41,9/7/20 16:41
2021-08-12,4,33,9/7/20 16:41,9/7/20 16:41
2021-08-13,5,33,9/7/20 16:41,9/7/20 16:41
2021-08-14,6,33,9/7/20 16:41,9/7/20 16:41
2021-08-15,0,34,9/7/20 16:41,9/7/20 16:41
2021-08-16,1,34,9/7/20 16:41,9/7/20 16:41
2021-08-17,2,34,9/7/20 16:41,9/7/20 16:41
2021-08-18,3,34,9/7/20 16:41,9/7/20 16:41
2021-08-19,4,34,9/7/20 16:41,9/7/20 16:41
2021-08-20,5,34,9/7/20 16:41,9/7/20 16:41
2021-08-21,6,34,9/7/20 16:41,9/7/20 16:41
2021-08-22,0,35,9/7/20 16:41,9/7/20 16:41
